a;  Dx;     Sx;       qx;       lx;       dx;       Lx;       Tx;       ex;       rel.Bevx
5;  4.2;    107;      0.039252; 1000;     39.25233; 4901.869; 26773.57; 26.77357; 18.30860
5;  4.26;   102.8;    0.041504; 960.7476; 39.87538; 4704.049; 21871.70; 22.76529; 17.56974
5;  8.67;   98.53333; 0.088018; 920.8722; 81.05352; 4401.727; 17167.65; 18.64282; 16.44056
5;  14.2;   89.86060; 0.158022; 839.8187; 132.7102; 3867.318; 12765.93; 15.20081; 14.44453
5;  14.73;  75.66060; 0.194809; 707.1084; 137.7513; 3191.163; 8898.612; 12.58450; 11.91907
5;  17.37;  60.92121; 0.285216; 569.3571; 162.3902; 2440.809; 5707.448; 10.02437; 9.116488
5;  18.12;  43.54545; 0.416283; 406.9668; 169.4137; 1611.299; 3266.638; 8.026791; 6.018246
5;  12.46;  25.41818; 0.490224; 237.5531; 116.4542; 896.6298; 1655.338; 6.968288; 3.348935
5;  6.78;   12.95757; 0.523386; 121.0988; 63.38147; 447.0404; 758.7085; 6.265201; 1.669707
5;  3.95;   6.175757; 0.640824; 57.71736; 36.98668; 196.1200; 311.6680; 5.399901; 0.732513
5;  1.30;   2.218181; 0.590163; 20.73067; 12.23449; 73.06711; 115.5480; 5.573770; 0.272907
5;  0.45;   0.909090; 0.5;      8.496176; 4.248088; 31.86066; 42.48088; 5;        0.119000
5;  0.45;   0.454545; 1;        4.248088; 4.248088; 10.62022; 10.62022; 2.5;      0.039666
