	no	sex	age_start	age_end
1	1	f	20	25
2	2	m	36	45
3	3	u	13	17
4	4_1	u	13	17
5	4_2	f	26	35
6	4_3	m	36	45
7	5	u	13	17
8	6	f	46	69
9	7	m	18	45
10	8	m	46	69
11	9	m	26	45
12	14	f	18	45
13	15_1	f	20	69
14	15_2	u	1	1
15	16	u	18	45
16	17	m	46	69
17	18	f	26	45
18	19	m	36	45
19	20	f	26	30
20	21	m	36	69
21	22	f	46	69
22	23	u	11	12
23	24	f	26	35
24	25	m	46	69
25	26	m	30	45
26	27	f	40	69
27	28	u	0	0
28	29	u	10	12
29	30	u	6	7
30	31	u	1	2
31	32	f	18	25
32	33	f	26	35
33	34	m	26	45
34	35	f	36	69
35	36	f	46	69
36	37	f	26	35
37	38	u	6	7
38	39	f	36	45
39	40	u	3	3
40	41	u	13	15
41	42	u	5	7
42	43	u	18	69
43	44	f	26	45
44	45	u	26	45
45	46	u	13	69
46	47	u	1	2
47	48	f	18	25
48	49	u	5	6
49	50	u	4	5
50	52	f	26	45
51	53	f	18	25
52	54	u	6	7
53	55	u	0	0
54	56	m	46	69
55	57	f	18	25
56	58	m	26	45
57	59	u	13	17
58	60	u	1	1
59	61	f	46	69
60	62	m	26	35
61	63	m	20	69
62	64	f	36	45
63	65	f	40	69
64	66	f	46	69
65	67	u	1	1
66	68	u	8	9
67	69	m	18	25
68	70	f	26	35
69	71	u	5	6
70	72	m	18	25
71	73	u	0	0
72	74	u	2	3
73	75	u	13	15
74	76	f	26	45
75	77	m	26	45
